date,file,activity_type,duration_min,avg_power,peak_5s,peak_20s,peak_30s,peak_1min,peak_3min,peak_5min,peak_10min,peak_20min,peak_60min,peak_90min,peak_180min,peak_240min,peak_300min,avg_elevation_ft,altitude_category,avg_pace_sec_per_km,avg_hr,peak_peak_5s,peak_peak_20s,peak_peak_30s,peak_peak_1min,peak_peak_3min,peak_peak_5min,peak_peak_10min,peak_peak_20min,peak_peak_60min,peak_peak_90min,peak_peak_180min,peak_peak_240min,peak_peak_300min
2015-05-27,2015-05-27-17-03-49.fit.gz,cycling,111.75,272.4926174496644,395.0,387.6,385.6,382.1,374.8,349.4,330.6,314.6,295.7,279.5,,,,5277.0,colorado,,,,,,,,,,,,,,,
2015-05-28,2015-05-28-13-12-48.fit.gz,cycling,139.23333333333332,250.5167584390711,503.2,386.4,362.4,346.2,300.5,294.9,281.0,269.1,259.1,250.0,,,,6447.0,colorado,,,,,,,,,,,,,,,
2015-05-31,2015-05-31-10-48-16.fit.gz,cycling,110.51666666666667,288.57939978887043,853.4,642.2,560.4,482.7,428.1,393.1,370.7,337.9,300.2,294.6,,,,5074.0,colorado,,,,,,,,,,,,,,,
2015-06-03,2015-06-03-17-16-36.fit.gz,cycling,61.4,306.7524429967427,827.0,779.3,774.3,627.6,438.5,404.6,369.2,345.7,307.6,,,,,5384.0,colorado,,,,,,,,,,,,,,,
2015-06-05,2015-06-05-17-13-39.fit.gz,cycling,101.91666666666667,280.0573998364677,733.6,651.9,603.1,439.7,390.1,362.2,336.8,326.4,289.8,281.8,,,,5516.0,colorado,,,,,,,,,,,,,,,
2015-06-06,2015-06-06-06-49-40.fit.gz,cycling,207.85,272.3710207681822,924.4,456.7,435.7,415.6,402.0,395.7,385.8,367.2,323.3,303.6,280.2,,,6380.0,colorado,,,,,,,,,,,,,,,
2015-06-07,2015-06-07-09-43-03.fit.gz,cycling,136.23333333333332,279.27330560313186,688.4,462.0,447.8,429.0,403.7,394.3,378.5,362.2,304.2,297.3,,,,7074.0,colorado,,,,,,,,,,,,,,,
2015-06-09,2015-06-09-16-33-26.fit.gz,cycling,136.21666666666667,276.6961947877156,717.6,637.4,578.2,427.8,395.6,376.8,361.7,329.5,312.8,292.9,,,,6543.0,colorado,,,,,,,,,,,,,,,
2015-06-10,2015-06-10-17-56-46.fit.gz,cycling,103.85,270.0929224843524,461.8,430.5,424.9,416.0,376.5,346.9,320.9,301.6,286.0,275.8,,,,5345.0,colorado,,,,,,,,,,,,,,,
2015-06-11,2015-06-11-17-29-46.fit.gz,cycling,111.65,265.39976115838186,693.8,428.9,428.2,421.3,368.5,332.4,300.2,285.8,271.3,269.4,,,,6447.0,colorado,,,,,,,,,,,,,,,
2015-06-13,2015-06-13-11-44-49.fit.gz,cycling,116.38333333333334,272.7635686667621,743.6,423.6,386.1,358.6,302.8,299.7,296.2,291.6,281.3,277.2,,,,9784.0,colorado,,,,,,,,,,,,,,,
2015-06-16,2015-06-16-17-02-48.fit.gz,cycling,96.25,279.52675324675323,435.4,420.5,410.8,394.7,383.3,376.0,341.9,324.6,293.9,282.3,,,,5330.0,colorado,,,,,,,,,,,,,,,
2015-06-17,2015-06-17-17-06-18.fit.gz,cycling,109.13333333333334,291.2774893097129,505.4,439.0,435.9,429.7,398.2,382.3,371.7,367.5,326.3,304.5,,,,5731.0,colorado,,,,,,,,,,,,,,,
2015-06-18,2015-06-18-17-02-44.fit.gz,cycling,105.9,279.99795404469626,427.0,389.4,378.7,372.3,369.1,362.5,354.9,346.6,312.1,288.0,,,,5788.0,colorado,,,,,,,,,,,,,,,
2015-06-20,2015-06-20-11-38-24.fit.gz,cycling,85.71666666666667,276.08283103247135,466.2,410.5,405.0,390.3,370.5,362.9,334.8,321.1,292.9,,,,,5656.0,colorado,,,,,,,,,,,,,,,
2015-06-21,2015-06-20-18-32-57.fit.gz,cycling,19.533333333333335,277.1493174061433,572.8,480.9,465.2,437.4,397.8,390.2,323.1,,,,,,,5658.0,colorado,,,,,,,,,,,,,,,
2015-06-24,2015-06-24-17-44-53.fit.gz,cycling,62.916666666666664,258.6850331125828,488.8,452.2,414.7,382.0,357.3,339.6,328.0,287.3,259.8,,,,,5491.0,colorado,,,,,,,,,,,,,,,
2015-06-25,2015-06-25-16-40-48.fit.gz,cycling,61.166666666666664,282.2035422343324,843.2,597.5,502.4,409.1,370.7,336.3,329.4,310.4,283.4,,,,,5853.0,colorado,,,,,,,,,,,,,,,
2015-06-27,2015-06-27-10-49-07.fit.gz,cycling,186.5,253.52225201072386,838.8,623.3,551.3,550.8,452.1,384.0,374.1,365.0,328.4,311.3,256.0,,,5219.0,colorado,,,,,,,,,,,,,,,
2015-06-28,2015-06-28-07-24-24.fit.gz,cycling,126.66666666666667,277.11342105263157,669.4,463.5,424.0,408.6,395.3,390.4,372.7,353.7,320.4,307.0,,,,6963.0,colorado,,,,,,,,,,,,,,,
2015-07-03,wattgod.2015-07-05-01-13-07-691Z.GarminPush.1945606587.fit.gz,cycling,321.8333333333333,264.7775763852926,582.4,451.0,444.0,426.8,372.0,355.2,338.6,327.5,307.9,305.6,288.7,277.1,267.9,8438.0,colorado,,,,,,,,,,,,,,,
2015-07-04,wattgod.2015-07-05-01-13-23-344Z.GarminPush.1945607356.fit.gz,cycling,222.68333333333334,265.90367487463516,788.4,532.8,514.1,389.5,328.9,317.0,304.2,294.9,280.4,277.1,273.5,,,8409.0,colorado,,,,,,,,,,,,,,,
2015-07-08,wattgod.2015-07-09-01-36-38-104Z.GarminPush.1968175726.fit.gz,cycling,84.21666666666667,302.325747080942,680.0,648.9,577.5,459.3,409.5,408.2,365.7,342.4,312.6,,,,,5569.0,colorado,,,,,,,,,,,,,,,
2015-07-10,2015-07-10-05-53-14.fit.gz,cycling,71.35,147.21560383088064,539.6,404.4,341.4,276.4,252.0,252.2,197.1,153.6,147.6,,,,,5321.0,colorado,,,,,,,,,,,,,,,
2015-07-12,2015-07-12-13-13-50.fit.gz,cycling,189.08333333333334,259.9632437197003,490.2,379.2,364.4,345.0,330.4,325.1,312.8,305.6,288.1,279.3,262.3,,,6892.0,colorado,,,,,,,,,,,,,,,
2015-07-14,2015-07-14-17-04-26.fit.gz,cycling,71.31666666666666,286.2608086001402,616.4,573.9,542.3,432.3,348.5,336.0,324.1,319.5,290.5,,,,,6042.0,colorado,,,,,,,,,,,,,,,
2015-07-21,2015-07-21-16-50-53.fit.gz,cycling,97.76666666666667,278.31384248210026,579.2,521.5,506.5,487.3,412.8,381.0,334.9,324.6,297.5,282.4,,,,5170.0,colorado,,,,,,,,,,,,,,,
2015-07-22,2015-07-22-16-54-43.fit.gz,cycling,104.9,273.2610422624722,885.0,638.2,567.8,448.0,349.0,326.5,320.7,299.1,285.9,277.5,,,,5247.0,colorado,,,,,,,,,,,,,,,
2015-07-24,2015-07-24-17-26-40.fit.gz,cycling,67.86666666666666,294.7681728880157,532.0,429.0,425.0,418.7,411.4,406.9,401.5,346.3,300.9,,,,,5485.0,colorado,,,,,,,,,,,,,,,
2015-07-25,2015-07-25-12-31-32.fit.gz,cycling,169.8,281.10404397330194,555.2,424.8,369.2,359.0,343.0,330.5,320.4,313.7,301.4,296.1,,,,7470.0,colorado,,,,,,,,,,,,,,,
2015-07-27,2015-07-27-17-04-25.fit.gz,cycling,138.6,280.1936026936027,884.2,540.0,538.0,416.5,335.4,329.8,311.6,296.4,285.0,282.6,,,,6493.0,colorado,,,,,,,,,,,,,,,
2015-07-29,2015-07-29-16-59-03.fit.gz,cycling,102.43333333333334,297.1535958346892,487.2,456.0,453.2,445.6,417.5,400.5,390.1,374.4,329.4,305.4,,,,5515.0,colorado,,,,,,,,,,,,,,,
2015-08-01,2015-08-01-11-58-35.fit.gz,cycling,154.76666666666668,276.40254146026274,498.2,419.6,382.8,335.5,319.1,310.7,296.6,291.3,286.5,284.6,,,,5073.0,colorado,,,,,,,,,,,,,,,
2015-08-02,2015-08-02-10-28-03.fit.gz,cycling,258.2,264.66873224890264,815.8,611.9,535.6,468.5,326.3,321.2,304.6,300.1,281.9,279.6,269.7,267.9,,7098.0,colorado,,,,,,,,,,,,,,,
2015-08-05,2015-08-05-16-35-15.fit.gz,cycling,90.23333333333333,274.66124861470263,957.2,634.8,572.9,480.2,424.2,376.6,350.4,326.2,287.5,275.0,,,,5160.0,colorado,,,,,,,,,,,,,,,
2015-08-08,2015-08-08-15-41-05.fit.gz,cycling,147.03333333333333,304.2405350260712,830.4,501.4,439.2,429.4,356.6,349.5,332.8,318.6,313.8,311.1,,,,6399.0,colorado,,,,,,,,,,,,,,,
2015-08-11,2015-08-11-17-02-07.fit.gz,cycling,88.13333333333334,294.9591527987897,531.0,478.8,441.8,421.7,408.4,401.4,395.0,345.2,309.4,,,,,5307.0,colorado,,,,,,,,,,,,,,,
2015-08-12,2015-08-12-16-12-16.fit.gz,cycling,82.78333333333333,291.68512180390576,524.8,456.2,417.9,382.9,368.3,363.5,336.8,331.5,308.7,,,,,5276.0,colorado,,,,,,,,,,,,,,,
2015-08-13,2015-08-13-17-35-19.fit.gz,cycling,114.68333333333334,281.52230780409826,1070.2,776.9,644.9,547.2,449.4,395.2,364.1,347.2,307.4,289.9,,,,4988.0,colorado,,,,,,,,,,,,,,,
2015-08-15,2015-08-15-15-52-26.fit.gz,cycling,201.95,277.88817364034,644.2,614.5,583.3,410.2,393.0,389.9,373.6,351.0,316.5,294.3,280.1,,,6729.0,colorado,,,,,,,,,,,,,,,
2015-08-16,2015-08-16-08-46-17.fit.gz,cycling,181.96666666666667,270.20653965927823,513.8,405.6,388.3,382.5,369.2,361.9,340.3,322.7,311.9,294.7,271.1,,,6938.0,colorado,,,,,,,,,,,,,,,
2015-08-19,2015-08-19-17-06-58.fit.gz,cycling,71.93333333333334,276.2970342910102,477.0,381.6,377.3,372.2,364.8,360.5,336.7,314.6,281.2,,,,,8899.0,colorado,,,,,,,,,,,,,,,
2015-08-20,2015-08-20-16-32-11.fit.gz,cycling,92.81666666666666,278.90249595977735,472.6,436.8,424.3,411.5,403.7,367.9,358.6,339.6,294.7,280.5,,,,8818.0,colorado,,,,,,,,,,,,,,,
